city,year,Blue,Green,White,Yellow,Grey,Sum
台中市,111,31,24,1,1,5,62
台北市,111,28,21,4,0,6,59
台南市,111,15,27,0,0,12,54
桃園市,111,26,23,0,0,7,56
高雄市,111,28,27,0,0,6,61
新北市,111,31,27,1,0,3,62
台東縣,111,8,2,0,0,7,17
宜蘭縣,111,11,11,0,0,9,31
花蓮縣,111,13,3,1,0,6,23
金門縣,111,7,1,0,0,10,18
南投縣,111,11,8,1,0,14,34
屏東縣,111,16,13,0,0,17,46
苗栗縣,111,6,7,0,1,21,35
基隆縣,111,13,12,0,0,5,30
雲林縣,111,9,11,1,0,22,43
新竹市,111,11,8,2,3,9,33
新竹縣,111,15,6,1,0,11,33
嘉義市,111,6,6,0,1,10,23
嘉義縣,111,8,18,0,0,10,36
彰化縣,111,26,16,2,0,9,53
澎湖縣,111,3,3,12,0,0,18
台中市,107,30,25,0,0,7,62
台北市,107,27,19,0,3,12,61
台南市,107,16,25,0,1,13,55
桃園市,107,27,17,0,1,11,56
高雄市,107,30,25,0,2,5,62
新北市,107,30,25,0,0,7,62
台東縣,107,12,1,0,0,4,17
宜蘭縣,107,13,8,0,0,10,31
花蓮縣,107,15,3,0,0,5,23
金門縣,107,8,0,0,0,10,18
南投縣,107,15,8,0,0,11,34
屏東縣,107,14,15,0,0,16,45
苗栗縣,107,13,4,0,2,16,35
基隆縣,107,16,6,0,1,7,30
雲林縣,107,7,12,0,1,23,43
新竹市,107,14,6,0,3,10,33
新竹縣,107,17,2,0,1,13,33
嘉義市,107,5,4,0,0,14,23
嘉義縣,107,9,17,0,0,10,36
彰化縣,107,27,12,0,1,0,40
澎湖縣,107,4,3,0,0,12,19
台中市,103,27,27,0,0,7,61
台北市,103,26,27,0,0,8,61
台南市,103,15,28,0,0,12,55
桃園市,103,26,20,0,0,9,55
高雄市,103,23,31,0,0,7,61
新北市,103,23,31,0,0,8,62
台東縣,103,12,1,0,0,4,17
宜蘭縣,103,10,12,0,0,9,31
花蓮縣,103,14,6,0,0,3,23
金門縣,103,15,1,0,0,2,18
南投縣,103,16,8,0,0,9,33
屏東縣,103,12,18,0,0,15,45
苗栗縣,103,17,4,0,0,15,36
基隆縣,103,13,10,0,0,5,28
雲林縣,103,7,13,0,0,23,43
新竹市,103,13,7,0,0,11,31
新竹縣,103,20,2,0,0,10,32
嘉義市,103,6,5,0,0,13,24
嘉義縣,103,9,18,0,0,9,36
彰化縣,103,23,17,0,0,12,52
澎湖縣,103,8,2,0,0,9,19
