city,debtInOneYear,debtOverOneYear,year
臺北市,"216,999 ",0 ,103
高雄市,"232,157 ","12,647 ",103
新北市,"68,050 ","42,000 ",103
臺中市,"62,010 ","22,473 ",103
臺南市,"48,798 ","23,331 ",103
桃園市,"22,200 ","4,000 ",103
宜蘭縣,"13,391 ","9,764 ",103
新竹縣,"15,590 ","7,200 ",103
苗栗縣,"23,194 ","16,616 ",103
彰化縣,"15,967 ","7,886 ",103
南投縣,"11,862 ","4,879 ",103
雲林縣,"19,210 ","7,389 ",103
嘉義縣,"15,668 ","5,554 ",103
屏東縣,"19,022 ","8,861 ",103
臺東縣,"4,724 ","2,529 ",103
花蓮縣,"8,140 ","4,272 ",103
澎湖縣,"2,070 ","150" ,103
基隆市,"9,629 ","2,800 ",103
新竹市,"8,611 ","4,444 ",103
嘉義市,840 ,211 ,103
金門縣,0 ,0 ,103
連江縣,0 ,0 ,103
臺北市,"199,861 ",0 ,104
高雄市,"240,610 ","15,756 ",104
新北市,"85,800 ","37,000 ",104
臺中市,"70,526 ","18,386 ",104
臺南市,"54,573 ","18,500 ",104
桃園市,"17,600 ","4,000 ",104
宜蘭縣,"12,971 ","9,662 ",104
新竹縣,"15,590 ","6,301 ",104
苗栗縣,"22,844 ","16,442 ",104
彰化縣,"15,517 ","8,314 ",104
南投縣,"11,741 ","5,339 ",104
雲林縣,"18,860 ","7,396 ",104
嘉義縣,"15,220 ","5,442 ",104
屏東縣,"18,815 ","6,331 ",104
臺東縣,"4,681 ","2,847 ",104
花蓮縣,"8,120 ","4,142 ",104
澎湖縣,"1,800 ","406" ,104
基隆市,"8,829 ","1,600 ",104
新竹市,"8,210 ","3,694 ",104
嘉義市,389 ,0 ,104
金門縣,0 ,0 ,104
連江縣,0 ,0 ,104
臺北市,"204,592 ",0 ,105
高雄市,"242,607 ","9,548 ",105
新北市,"103,499 ","34,000 ",105
臺中市,"82,814 ","29,840 ",105
臺南市,"55,473 ","13,520 ",105
桃園市,"20,000 ","4,000 ",105
宜蘭縣,"12,621 ","9,531 ",105
新竹縣,"15,590 ","6,530 ",105
苗栗縣,"22,602 ","16,349 ",105
彰化縣,"15,229 ","9,642 ",105
南投縣,"11,595 ","4,472 ",105
雲林縣,"18,475 ","6,739 ",105
嘉義縣,"14,999 ","4,359 ",105
屏東縣,"18,408 ","4,310 ",105
臺東縣,"4,421 ","2,449 ",105
花蓮縣,"8,100 ","4,054 ",105
澎湖縣,"1,550 ","133" ,105
基隆市,"8,078 ","1,600 ",105
新竹市,"7,510 ","3,724 ",105
嘉義市,117 ,0 ,105
金門縣,0 ,0 ,105
連江縣,0 ,0 ,105
臺北市,"191,620 ",0 ,106
高雄市,"241,607 ","7,138 ",106
新北市,"102,231 ","33,500 ",106
臺中市,"88,086 ","31,791 ",106
臺南市,"55,473 ","9,742 ",106
桃園市,"18,500 ","4,000 ",106
宜蘭縣,"12,271 ","9,438 ",106
新竹縣,"15,430 ","4,058 ",106
苗栗縣,"22,301 ","16,255 ",106
彰化縣,"15,220 ","10,888 ",106
南投縣,"11,388 ","2,825 ",106
雲林縣,"18,084 ","7,351 ",106
嘉義縣,"14,350 ","4,052 ",106
屏東縣,"17,876 ","1,527 ",106
臺東縣,"4,002 ","1,972 ",106
花蓮縣,"8,070 ","3,960 ",106
澎湖縣,"1,390 ","221" ,106
基隆市,"7,877 ","1,500 ",106
新竹市,"7,500 ","4,678 ",106
嘉義市,30 ,0 ,106
金門縣,0 ,0 ,106
連江縣,0 ,0 ,106
臺北市,"180,431 ",0 ,107
高雄市,"244,737 ","3,542 ",107
新北市,"101,731 ","32,000 ",107
臺中市,"102,361 ","23,463 ",107
臺南市,"52,973 ","7,329 ",107
桃園市,"24,000 ","8,572 ",107
宜蘭縣,"11,821 ","9,404 ",107
新竹縣,"12,230 ","4,735 ",107
苗栗縣,"22,069 ","16,171 ",107
彰化縣,"16,783 ","9,636 ",107
南投縣,"10,753 ","1,438 ",107
雲林縣,"17,674 ","5,105 ",107
嘉義縣,"13,850 ","3,427 ",107
屏東縣,"17,390 ","1,000 ",107
臺東縣,"3,738 ","1,920 ",107
花蓮縣,"8,020 ","3,950 ",107
澎湖縣,"1,190 ","2,107",107
基隆市,"7,825 ","1,400 ",107
新竹市,"8,329 ","4,822 ",107
嘉義市,0 ,0 ,107
金門縣,0 ,0 ,107
連江縣,0 ,0 ,107
