年分,地區,姓名,推薦政黨,得票數,得票率,當選
103,臺北市,陳汝斌,三等國民公義人權自救黨,"1,624",0.1, 
103,臺北市,趙衍慶,無黨籍及未經政黨推薦,"15,898",1.06, 
103,臺北市,李宏信,無黨籍及未經政黨推薦,"2,621",0.17, 
103,臺北市,陳永昌,無黨籍及未經政黨推薦,"1,908",0.12, 
103,臺北市,馮光遠,無黨籍及未經政黨推薦,"8,080",0.54, 
103,臺北市,連勝文,中國國民黨,"609,932",40.82, 
103,臺北市,柯文哲,無黨籍及未經政黨推薦,"853,983",57.15,*
103,新北市,游錫堃,民主進步黨,"934,774",48.78, 
103,新北市,李進順,無黨籍及未經政黨推薦,"22,207",1.15, 
103,新北市,朱立倫,中國國民黨,"959,302",50.06,*
103,桃園市,鄭文燦,民主進步黨,"492,414",51,*
103,桃園市,吳志揚,中國國民黨,"463,133",47.96, 
103,桃園市,許睿智,無黨籍及未經政黨推薦,"9,943",1.02, 
103,臺中市,胡志強,中國國民黨,"637,531",42.93, 
103,臺中市,林佳龍,民主進步黨,"847,284",57.06,*
103,臺南市,賴清德,民主進步黨,"711,557",72.89,*
103,臺南市,黃秀霜,中國國民黨,"264,536",27.1, 
103,高雄市,周可盛,無黨籍及未經政黨推薦,"14,925",1.02, 
103,高雄市,陳菊,民主進步黨,"993,300",68.08,*
103,高雄市,楊秋興,中國國民黨,"450,647",30.89, 
103,宜蘭縣,林聰賢,民主進步黨,"160,253",63.95,*
103,宜蘭縣,邱淑媞,中國國民黨,"90,320",36.04, 
103,新竹縣,葉芳棟,無黨籍及未經政黨推薦,"15,699",5.92, 
103,新竹縣,邱鏡淳,中國國民黨,"124,309",46.94,*
103,新竹縣,鄭永金,無黨籍及未經政黨推薦,"118,698",44.82, 
103,新竹縣,莊作兵,無黨籍及未經政黨推薦,"6,115",2.3, 
103,苗栗縣,徐耀昌,中國國民黨,"147,547",46.59,*
103,苗栗縣,康世儒,無黨籍及未經政黨推薦,"60,356",19.06, 
103,苗栗縣,江明修,無黨籍及未經政黨推薦,"14,978",4.72, 
103,苗栗縣,陳淑芬,無黨籍及未經政黨推薦,"2,137",0.67, 
103,苗栗縣,曾國良,無黨籍及未經政黨推薦,"1,807",0.57, 
103,苗栗縣,吳宜臻,民主進步黨,"89,838",28.37, 
103,彰化縣,黃文玲,無黨籍及未經政黨推薦,"37,593",5.22, 
103,彰化縣,洪敏雄,無黨籍及未經政黨推薦,"10,674",1.48, 
103,彰化縣,魏明谷,民主進步黨,"386,405",53.71,*
103,彰化縣,林滄敏,中國國民黨,"284,738",39.57, 
103,南投縣,李文忠,民主進步黨,"143,719",49.03, 
103,南投縣,林明溱,中國國民黨,"149,361",50.96,*
103,雲林縣,張麗善,中國國民黨,"175,862",43.02, 
103,雲林縣,李進勇,民主進步黨,"232,900",56.97,*
103,嘉義縣,黃宏成台灣阿成世界偉人,無黨籍及未經政黨推薦,"8,639",2.81, 
103,嘉義縣,張花冠,民主進步黨,"193,399",63.09,*
103,嘉義縣,翁重鈞,中國國民黨,"104,488",34.08, 
103,屏東縣,簡太郎,中國國民黨,"182,027",37.07, 
103,屏東縣,潘孟安,民主進步黨,"308,953",62.92,*
103,臺東縣,劉櫂豪,民主進步黨,"53,860",45.59, 
103,臺東縣,黃健庭,中國國民黨,"64,272",54.4,*
103,花蓮縣,傅崐萁,無黨籍及未經政黨推薦,"89,048",56.52,*
103,花蓮縣,徐榛蔚,無黨籍及未經政黨推薦,"5,436",3.45, 
103,花蓮縣,黄師鵬,無黨籍及未經政黨推薦,"2,369",1.5, 
103,花蓮縣,柯賜海,無黨籍及未經政黨推薦,"14,954",9.49, 
103,花蓮縣,朱國華,無黨籍及未經政黨推薦,"2,218",1.4, 
103,花蓮縣,蔡啟塔,中國國民黨,"43,504",27.61, 
103,澎湖縣,陳光復,民主進步黨,"29,164",55.34,*
103,澎湖縣,蘇崑雄,中國國民黨,"23,533",44.65, 
103,連江縣,劉增應,中國國民黨,"4,385",66.24,*
103,連江縣,楊綏生,中國國民黨,"2,234",33.75, 
103,金門縣,蘇龍科,無黨籍及未經政黨推薦,470,1.03, 
