年分,地區,姓名,推薦政黨,得票數,得票率,得票率,當選
107,臺北市,吳蕚洋,無黨籍及未經政黨推薦,5611,0.0039,0.39, 
107,臺北市,丁守中,中國國民黨,577096,0.4081,40.81, 
107,臺北市,姚文智,民主進步黨,244342,0.1728,17.28, 
107,臺北市,柯文哲,無黨籍及未經政黨推薦,580663,0.4106,41.06,*
107,臺北市,李錫錕,無黨籍及未經政黨推薦,6158,0.0043,0.43, 
107,新北市,蘇貞昌,民主進步黨,873692,0.4285,42.85, 
107,新北市,侯友宜,中國國民黨,1165130,0.5714,57.14,*
107,桃園市,朱梅雪,無黨籍及未經政黨推薦,18200,0.0176,1.76, 
107,桃園市,陳學聖,中國國民黨,407234,0.3941,39.41, 
107,桃園市,楊麗環,無黨籍及未經政黨推薦,51518,0.0498,4.98, 
107,桃園市,吳富彤,無黨籍及未經政黨推薦,3867,0.0037,0.37, 
107,桃園市,鄭文燦,民主進步黨,552330,0.5346,53.46,*
107,臺中市,宋原通,無黨籍及未經政黨推薦,15919,0.0108,1.08, 
107,臺中市,林佳龍,民主進步黨,619855,0.4234,42.34, 
107,臺中市,盧秀燕,中國國民黨,827996,0.5656,56.56,*
107,臺南市,黃偉哲,民主進步黨,367518,0.3801,38.01,*
107,臺南市,高思博,中國國民黨,312874,0.3236,32.36, 
107,臺南市,林義豐,無黨籍及未經政黨推薦,84153,0.0870,8.70, 
107,臺南市,許忠信,無黨籍及未經政黨推薦,45168,0.0467,4.67, 
107,臺南市,陳永和,無黨籍及未經政黨推薦,117179,0.1212,12.12, 
107,臺南市,蘇煥智,無黨籍及未經政黨推薦,39778,0.0411,4.11, 
107,高雄市,韓國瑜,中國國民黨,892545,0.5386,53.86,*
107,高雄市,陳其邁,民主進步黨,742239,0.4479,44.79, 
107,高雄市,璩美鳳,無黨籍及未經政黨推薦,7998,0.0048,0.48, 
107,高雄市,蘇盈貴,無黨籍及未經政黨推薦,14125,0.0085,0.85, 
107,宜蘭縣,林信華,無黨籍及未經政黨推薦,27399,0.1095,10.95, 
107,宜蘭縣,林姿妙,中國國民黨,123767,0.4948,49.48,*
107,宜蘭縣,陳歐珀,民主進步黨,95609,0.3822,38.22, 
107,宜蘭縣,林錦坤,無黨籍及未經政黨推薦,1922,0.0076,0.76, 
107,宜蘭縣,陳秋境,無黨籍及未經政黨推薦,1424,0.0056,0.56, 
107,新竹縣,楊文科,中國國民黨,107877,0.3819,38.19,*
107,新竹縣,葉芳棟,無黨籍及未經政黨推薦,5168,0.0182,1.82, 
107,新竹縣,鄭朝方,民主進步黨,78170,0.2768,27.68, 
107,新竹縣,徐欣瑩,民國黨,91190,0.3229,32.29, 
107,苗栗縣,朱泰平,無黨籍及未經政黨推薦,6880,0.0226,2.26, 
107,苗栗縣,徐定禎,無黨籍及未經政黨推薦,112704,0.3702,37.02, 
107,苗栗縣,黃玉燕,無黨籍及未經政黨推薦,9030,0.0296,2.96, 
107,苗栗縣,徐耀昌,中國國民黨,175756,0.5774,57.74,*
107,彰化縣,魏明谷,民主進步黨,283269,0.3987,39.87, 
107,彰化縣,王惠美,中國國民黨,377795,0.5317,53.17,*
107,彰化縣,白雅燦,無黨籍及未經政黨推薦,7402,0.0104,1.04, 
107,彰化縣,黃文玲,無黨籍及未經政黨推薦,34690,0.0488,4.88, 
107,彰化縣,洪敏雄,無黨籍及未經政黨推薦,7263,0.0102,1.02, 
107,南投縣,林明溱,中國國民黨,195385,0.6671,66.71,*
107,南投縣,洪國浩,民主進步黨,97460,0.3328,33.28, 
107,雲林縣,林佳瑜,無黨籍及未經政黨推薦,6163,0.0157,1.57, 
107,雲林縣,李進勇,民主進步黨,163325,0.4171,41.71, 
107,雲林縣,王麗萍,無黨籍及未經政黨推薦,11261,0.0287,2.87, 
107,雲林縣,張麗善,中國國民黨,210770,0.5383,53.83,*
107,嘉義縣,翁章梁,民主進步黨,145288,0.5095,50.95,*
107,嘉義縣,吳芳銘,無黨籍及未經政黨推薦,51020,0.1789,17.89, 
107,嘉義縣,林國龍,無黨籍及未經政黨推薦,4596,0.0161,1.61, 
107,嘉義縣,吳育仁,中國國民黨,84243,0.2954,29.54, 
107,屏東縣,李鎔任,無黨籍及未經政黨推薦,9819,0.0208,2.08, 
107,屏東縣,蘇清泉,中國國民黨,197518,0.4201,42.01, 
107,屏東縣,潘孟安,民主進步黨,262809,0.5589,55.89,*
107,臺東縣,鄺麗貞,無黨籍及未經政黨推薦,3049,0.0255,2.55, 
107,臺東縣,劉櫂豪,民主進步黨,44264,0.3703,37.03, 
107,臺東縣,黃裕斌,無黨籍及未經政黨推薦,640,0.0053,0.53, 
107,臺東縣,彭權國,無黨籍及未經政黨推薦,988,0.0082,0.82, 
107,臺東縣,饒慶鈴,中國國民黨,70577,0.5905,59.05,*
107,花蓮縣,徐榛蔚,中國國民黨,121297,0.7152,71.52,*
107,花蓮縣,劉曉玫,民主進步黨,43879,0.2587,25.87, 
107,花蓮縣,黄師鵬,無黨籍及未經政黨推薦,4420,0.0260,2.60, 
107,澎湖縣,翁珍聖,無黨籍及未經政黨推薦,1379,0.0260,2.60, 
107,澎湖縣,鄭清發,無黨籍及未經政黨推薦,4330,0.0818,8.18, 
107,澎湖縣,陳大松,無黨籍及未經政黨推薦,5822,0.1100,11.00, 
107,澎湖縣,吳政隆,無黨籍及未經政黨推薦,2999,0.0566,5.66, 
107,澎湖縣,賴峰偉,中國國民黨,20570,0.3887,38.87,*
107,澎湖縣,陳光復,民主進步黨,17347,0.3278,32.78, 
107,澎湖縣,呂華苑,無黨籍及未經政黨推薦,468,0.0088,0.88, 
107,連江縣,蘇柏豪,樹黨,927,0.1251,12.51, 
107,連江縣,朱秀珍,無黨籍及未經政黨推薦,1284,0.1733,17.33, 
107,連江縣,魏耀乾,無黨籍及未經政黨推薦,336,0.0453,4.53, 
107,連江縣,劉增應,中國國民黨,4861,0.6561,65.61,*
107,金門縣,楊鎮浯,中國國民黨,23520,0.4777,47.77,*
107,金門縣,洪志恒,金門高粱黨,832,0.0169,1.69, 
107,金門縣,汪承樺,教科文預算保障e聯盟,403,0.0081,0.81, 
107,金門縣,陳福海,無黨籍及未經政黨推薦,22719,0.4614,46.14, 
107,金門縣,謝宜璋,無黨籍及未經政黨推薦,1389,0.0282,2.82, 
107,金門縣,洪和成,無黨籍及未經政黨推薦,366,0.0074,0.74, 
107,基隆市,謝立功,中國國民黨,86529,0.4585,45.85, 
107,基隆市,林右昌,民主進步黨,102167,0.5414,54.14,*
107,新竹市,謝文進,無黨籍及未經政黨推薦,44101,0.2031,20.31, 
107,新竹市,李驥羣,無黨籍及未經政黨推薦,705,0.0032,0.32, 
107,新竹市,黃源甫,無黨籍及未經政黨推薦,3603,0.0165,1.65, 
107,新竹市,許明財,中國國民黨,60508,0.2787,27.87, 
107,新竹市,郭榮睿,無黨籍及未經政黨推薦,574,0.0026,0.26, 
107,新竹市,林智堅,民主進步黨,107612,0.4956,49.56,*
107,嘉義市,蕭淑麗,無黨籍及未經政黨推薦,25572,0.1798,17.98, 
107,嘉義市,黃敏惠,中國國民黨,58558,0.4117,41.17,*
