city,debtInOneYear,debtOverOneYear,year
臺北市,216999,0,103
高雄市,232157,12647,103
新北市,68050,42000,103
臺中市,62010,22473,103
臺南市,48798,23331,103
桃園市,22200,4000,103
宜蘭縣,13391,9764,103
新竹縣,15590,7200,103
苗栗縣,23194,16616,103
彰化縣,15967,7886,103
南投縣,11862,4879,103
雲林縣,19210,7389,103
嘉義縣,15668,5554,103
屏東縣,19022,8861,103
臺東縣,4724,2529,103
花蓮縣,8140,4272,103
澎湖縣,2070,150,103
基隆市,9629,2800,103
新竹市,8611,4444,103
嘉義市,840,211,103
金門縣,0,0,103
連江縣,0,0,103
臺北市,199861,0,104
高雄市,240610,15756,104
新北市,85800,37000,104
臺中市,70526,18386,104
臺南市,54573,18500,104
桃園市,17600,4000,104
宜蘭縣,12971,9662,104
新竹縣,15590,6301,104
苗栗縣,22844,16442,104
彰化縣,15517,8314,104
南投縣,11741,5339,104
雲林縣,18860,7396,104
嘉義縣,15220,5442,104
屏東縣,18815,6331,104
臺東縣,4681,2847,104
花蓮縣,8120,4142,104
澎湖縣,1800,406,104
基隆市,8829,1600,104
新竹市,8210,3694,104
嘉義市,389,0,104
金門縣,0,0,104
連江縣,0,0,104
臺北市,204592,0,105
高雄市,242607,9548,105
新北市,103499,34000,105
臺中市,82814,29840,105
臺南市,55473,13520,105
桃園市,20000,4000,105
宜蘭縣,12621,9531,105
新竹縣,15590,6530,105
苗栗縣,22602,16349,105
彰化縣,15229,9642,105
南投縣,11595,4472,105
雲林縣,18475,6739,105
嘉義縣,14999,4359,105
屏東縣,18408,4310,105
臺東縣,4421,2449,105
花蓮縣,8100,4054,105
澎湖縣,1550,133,105
基隆市,8078,1600,105
新竹市,7510,3724,105
嘉義市,117,0,105
金門縣,0,0,105
連江縣,0,0,105
臺北市,191620,0,106
高雄市,241607,7138,106
新北市,102231,33500,106
臺中市,88086,31791,106
臺南市,55473,9742,106
桃園市,18500,4000,106
宜蘭縣,12271,9438,106
新竹縣,15430,4058,106
苗栗縣,22301,16255,106
彰化縣,15220,10888,106
南投縣,11388,2825,106
雲林縣,18084,7351,106
嘉義縣,14350,4052,106
屏東縣,17876,1527,106
臺東縣,4002,1972,106
花蓮縣,8070,3960,106
澎湖縣,1390,221,106
基隆市,7877,1500,106
新竹市,7500,4678,106
嘉義市,30,0,106
金門縣,0,0,106
連江縣,0,0,106
臺北市,180431,0,107
高雄市,244737,3542,107
新北市,101731,32000,107
臺中市,102361,23463,107
臺南市,52973,7329,107
桃園市,24000,8572,107
宜蘭縣,11821,9404,107
新竹縣,12230,4735,107
苗栗縣,22069,16171,107
彰化縣,16783,9636,107
南投縣,10753,1438,107
雲林縣,17674,5105,107
嘉義縣,13850,3427,107
屏東縣,17390,1000,107
臺東縣,3738,1920,107
花蓮縣,8020,3950,107
澎湖縣,1190,2107,107
基隆市,7825,1400,107
新竹市,8329,4822,107
嘉義市,0,0,107
金門縣,0,0,107
連江縣,0,0,107
臺北市,173778,0,108
高雄市,245774,2000,108
新北市,102400,34700,108
臺中市,107212,24402,108
臺南市,52825,7745,108
桃園市,29000,15255,108
宜蘭縣,11521,9293,108
新竹縣,12230,4588,108
苗栗縣,21838,16087,108
彰化縣,16600,8701,108
南投縣,10514,0,108
雲林縣,17498,4420,108
嘉義縣,13405,2780,108
屏東縣,16890,0,108
臺東縣,3625,1400,108
花蓮縣,8000,3920,108
澎湖縣,1000,303,108
基隆市,7825,0,108
新竹市,8300,4573,108
嘉義市,0,0,108
金門縣,0,0,108
連江縣,0,0,108
臺北市,166354,0,109
高雄市,248881,1000,109
新北市,106000,32100,109
臺中市,107212,17314,109
臺南市,52800,6250,109
桃園市,36000,13000,109
宜蘭縣,11403,8988,109
新竹縣,11230,4000,109
苗栗縣,21604,15908,109
彰化縣,16433,7520,109
南投縣,10253,0,109
雲林縣,17323,3470,109
嘉義縣,12905,2780,109
屏東縣,16680,0,109
臺東縣,3460,814,109
花蓮縣,7900,3770,109
澎湖縣,974,875,109
基隆市,7725,0,109
新竹市,7900,2800,109
嘉義市,0,0,109
金門縣,0,0,109
連江縣,0,0,109
臺北市,159697,0,110
高雄市,248751,0,110
新北市,104000,28000,110
臺中市,107212,10421,110
臺南市,52800,2285,110
桃園市,30500,9000,110
宜蘭縣,11288,8503,110
新竹縣,7630,2000,110
苗栗縣,21373,15722,110
彰化縣,15267,6928,110
南投縣,9976,0,110
雲林縣,17149,2363,110
嘉義縣,12405,2780,110
屏東縣,16360,0,110
臺東縣,3157,450,110
花蓮縣,7800,3520,110
澎湖縣,950,1146,110
基隆市,7600,0,110
新竹市,7550,2300,110
嘉義市,0,0,110
金門縣,0,0,110
連江縣,0,0,110
