年分,地區,姓名,推薦政黨,得票數,得票率,當選
107,臺北市,吳蕚洋,無黨籍及未經政黨推薦,"5,611",0.39%, 
107,臺北市,丁守中,中國國民黨,"577,096",40.81%, 
107,臺北市,姚文智,民主進步黨,"244,342",17.28%, 
107,臺北市,柯文哲,無黨籍及未經政黨推薦,"580,663",41.06%,*
107,臺北市,李錫錕,無黨籍及未經政黨推薦,"6,158",0.43%, 
107,新北市,蘇貞昌,民主進步黨,"873,692",42.85%, 
107,新北市,侯友宜,中國國民黨,"1,165,130",57.14%,*
107,桃園市,朱梅雪,無黨籍及未經政黨推薦,"18,200",1.76%, 
107,桃園市,陳學聖,中國國民黨,"407,234",39.41%, 
107,桃園市,楊麗環,無黨籍及未經政黨推薦,"51,518",4.98%, 
107,桃園市,吳富彤,無黨籍及未經政黨推薦,"3,867",0.37%, 
107,桃園市,鄭文燦,民主進步黨,"552,330",53.46%,*
107,臺中市,宋原通,無黨籍及未經政黨推薦,"15,919",1.08%, 
107,臺中市,林佳龍,民主進步黨,"619,855",42.34%, 
107,臺中市,盧秀燕,中國國民黨,"827,996",56.56%,*
107,臺南市,黃偉哲,民主進步黨,"367,518",38.01%,*
107,臺南市,高思博,中國國民黨,"312,874",32.36%, 
107,臺南市,林義豐,無黨籍及未經政黨推薦,"84,153",8.70%, 
107,臺南市,許忠信,無黨籍及未經政黨推薦,"45,168",4.67%, 
107,臺南市,陳永和,無黨籍及未經政黨推薦,"117,179",12.12%, 
107,臺南市,蘇煥智,無黨籍及未經政黨推薦,"39,778",4.11%, 
107,高雄市,韓國瑜,中國國民黨,"892,545",53.86%,*
107,高雄市,陳其邁,民主進步黨,"742,239",44.79%, 
107,高雄市,璩美鳳,無黨籍及未經政黨推薦,"7,998",0.48%, 
107,高雄市,蘇盈貴,無黨籍及未經政黨推薦,"14,125",0.85%, 
107,宜蘭縣,林信華,無黨籍及未經政黨推薦,"27,399",10.95%, 
107,宜蘭縣,林姿妙,中國國民黨,"123,767",49.48%,*
107,宜蘭縣,陳歐珀,民主進步黨,"95,609",38.22%, 
107,宜蘭縣,林錦坤,無黨籍及未經政黨推薦,"1,922",0.76%, 
107,宜蘭縣,陳秋境,無黨籍及未經政黨推薦,"1,424",0.56%, 
107,新竹縣,楊文科,中國國民黨,"107,877",38.19%,*
107,新竹縣,葉芳棟,無黨籍及未經政黨推薦,"5,168",1.82%, 
107,新竹縣,鄭朝方,民主進步黨,"78,170",27.68%, 
107,新竹縣,徐欣瑩,民國黨,"91,190",32.29%, 
107,苗栗縣,朱泰平,無黨籍及未經政黨推薦,"6,880",2.26%, 
107,苗栗縣,徐定禎,無黨籍及未經政黨推薦,"112,704",37.02%, 
107,苗栗縣,黃玉燕,無黨籍及未經政黨推薦,"9,030",2.96%, 
107,苗栗縣,徐耀昌,中國國民黨,"175,756",57.74%,*
107,彰化縣,魏明谷,民主進步黨,"283,269",39.87%, 
107,彰化縣,王惠美,中國國民黨,"377,795",53.17%,*
107,彰化縣,白雅燦,無黨籍及未經政黨推薦,"7,402",1.04%, 
107,彰化縣,黃文玲,無黨籍及未經政黨推薦,"34,690",4.88%, 
107,彰化縣,洪敏雄,無黨籍及未經政黨推薦,"7,263",1.02%, 
107,南投縣,林明溱,中國國民黨,"195,385",66.71%,*
107,南投縣,洪國浩,民主進步黨,"97,460",33.28%, 
107,雲林縣,林佳瑜,無黨籍及未經政黨推薦,"6,163",1.57%, 
107,雲林縣,李進勇,民主進步黨,"163,325",41.71%, 
107,雲林縣,王麗萍,無黨籍及未經政黨推薦,"11,261",2.87%, 
107,雲林縣,張麗善,中國國民黨,"210,770",53.83%,*
107,嘉義縣,翁章梁,民主進步黨,"145,288",50.95%,*
107,嘉義縣,吳芳銘,無黨籍及未經政黨推薦,"51,020",17.89%, 
107,嘉義縣,林國龍,無黨籍及未經政黨推薦,"4,596",1.61%, 
107,嘉義縣,吳育仁,中國國民黨,"84,243",29.54%, 
107,屏東縣,李鎔任,無黨籍及未經政黨推薦,"9,819",2.08%, 
107,屏東縣,蘇清泉,中國國民黨,"197,518",42.01%, 
107,屏東縣,潘孟安,民主進步黨,"262,809",55.89%,*
107,臺東縣,鄺麗貞,無黨籍及未經政黨推薦,"3,049",2.55%, 
107,臺東縣,劉櫂豪,民主進步黨,"44,264",37.03%, 
107,臺東縣,黃裕斌,無黨籍及未經政黨推薦,640,0.53%, 
107,臺東縣,彭權國,無黨籍及未經政黨推薦,988,0.82%, 
107,臺東縣,饒慶鈴,中國國民黨,"70,577",59.05%,*
107,花蓮縣,徐榛蔚,中國國民黨,"121,297",71.52%,*
107,花蓮縣,劉曉玫,民主進步黨,"43,879",25.87%, 
107,花蓮縣,黄師鵬,無黨籍及未經政黨推薦,"4,420",2.60%, 
107,澎湖縣,翁珍聖,無黨籍及未經政黨推薦,"1,379",2.60%, 
107,澎湖縣,鄭清發,無黨籍及未經政黨推薦,"4,330",8.18%, 
107,澎湖縣,陳大松,無黨籍及未經政黨推薦,"5,822",11.00%, 
107,澎湖縣,吳政隆,無黨籍及未經政黨推薦,"2,999",5.66%, 
